,genre,songName,artistName,imageURL,songURL,lyricsURL
76,Hip-Hop,My Attitude,Flo Milli,https://i.scdn.co/image/ab67616d00004851caa7fe6557213aa27702f6f2,https://p.scdn.co/mp3-preview/9622cc0509334740733eeab78cee194fe0ae9a58?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Flo-Milli-My-Attitude-lyrics
77,Hip-Hop,Sidewalk,Jucee Froot,https://i.scdn.co/image/ab67616d000048510b82aa93ea8d6a297f0f2734,https://p.scdn.co/mp3-preview/5102d7624e468e5b2550263761fc07cc79801449?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Jucee-Froot-Sidewalk-lyrics
78,Hip-Hop,Cool Off,Missy Elliott,https://i.scdn.co/image/ab67616d000048515ac83483c107c4590c97fb4c,https://p.scdn.co/mp3-preview/a3fceb228e8bcb85122ebf3c0d1ea13c637f9879?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Missy-Elliott-Cool-Off-lyrics
79,Hip-Hop,Bitch Do It,Renni Rucci,https://i.scdn.co/image/ab67616d0000485109afbe1f99cf897e8feeb58a,,https://genius.com/Renni-Rucci-Bitch-Do-It-lyrics
80,Hip-Hop,FREE BIA (1ST DAY OUT),BIA,https://i.scdn.co/image/ab67616d00004851bee160f3c0ab8e0d2ef749e6,https://p.scdn.co/mp3-preview/ca5f6e50cdf40c04565c6ac9c687d960e4cea401?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/BIA-FREE-BIA-lyrics
81,Hip-Hop,Spend Sum Cash,LightSkinKeisha,https://i.scdn.co/image/ab67616d0000485167cc5e37a918ae17cfe1bef2,https://p.scdn.co/mp3-preview/996a118c79792da28b02ce57bd3d0f4f9b03518f?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/LightSkinKeisha-Spend-Sum-Cash-lyrics
82,Hip-Hop,Pretty MF,Rubi Rose,https://i.scdn.co/image/ab67616d00004851bfb737c587d7c71b33421e9d,https://p.scdn.co/mp3-preview/b8d523ff1f8d37449867aafe53e87f6843389a85?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Rubi-Rose-Pretty-MF-lyrics
83,Hip-Hop,Bubbly,DeJ Loaf,https://i.scdn.co/image/ab67616d00004851b303af6c8d39ea25a7bac246,https://p.scdn.co/mp3-preview/2fd1aee769e24882261e85791b15f39a06b3bbc2?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/DeJ-Loaf-Bubbly-lyrics
84,Hip-Hop,WWD,Kierra Luv,https://i.scdn.co/image/ab67616d00004851b96f88d5463c14c1ca89e345,,https://genius.com/Kierra-Luv-WWD-lyrics
85,Hip-Hop,Richie Rich (RR),Renni Rucci,https://i.scdn.co/image/ab67616d00004851379ab7c7ee4ea84cf1ba2255,,https://genius.com/Renni-Rucci-Richie-Rich-lyrics
86,Hip-Hop,See Me,Tokyo Jetz,https://i.scdn.co/image/ab67616d00004851230f094da632105694fcb953,https://p.scdn.co/mp3-preview/7d48143b90a1dff90b53637430c2e4d06c7ae343?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Tokyo-Jetz-See-Me-lyrics
87,Hip-Hop,INDUSTRY GAMES,CHIKA,https://i.scdn.co/image/ab67616d00004851daeb94f215d54033207fd79e,https://p.scdn.co/mp3-preview/5b87c0d7f93afd211ddc29842d926241fadfff90?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/CHIKA-INDUSTRY-GAMES-lyrics
88,Hip-Hop,Take Yo Man,Queen Key,https://i.scdn.co/image/ab67616d000048518225eb681bf10c8c978f2621,https://p.scdn.co/mp3-preview/f820ee88788913f452101ba5bede68c4d89f28d6?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Queen-Key-Take-Yo-Man-lyrics
89,Hip-Hop,Dropout (with Maxo Kream),OMB Bloodbath,https://i.scdn.co/image/ab67616d0000485129c7c136812956c597e90779,,https://genius.com/OMB-Bloodbath-Dropout-lyrics
90,Hip-Hop,Better Days (feat. Fetty Wap),Coi Leray,https://i.scdn.co/image/ab67616d00004851b0bd2dab5789e20527db216a,,https://genius.com/Coi-Leray-Better-Days-lyrics
91,Hip-Hop,Respect,Tokyo Jetz,https://i.scdn.co/image/ab67616d00004851f6a61ed6c8dafa8cd3736b96,https://p.scdn.co/mp3-preview/8e9cc2a309ae18a85934b31e97651c942e040874?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Tokyo-Jetz-Respect-lyrics
92,Hip-Hop,Wake Up,Kash Doll,https://i.scdn.co/image/ab67616d00004851ed0f682117f4205f8477074b,,https://genius.com/Kash-Doll-Wake-Up-lyrics
93,Hip-Hop,"Do Me Like That (feat. Buddy) [from Insecure: Music From The HBO Original Series, Season 4]",Yung Baby Tate,https://i.scdn.co/image/ab67616d0000485135b1c1a12500b10ee403f5bd,https://p.scdn.co/mp3-preview/8caa72a10f4b450a9a4dfa7813a9b9edd0cd2ee6?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Yung-Baby-Tate-Do-Me-Like-That--from-Insecure-Music-From-The-HBO-Original-Series-Season-4-lyrics
94,Hip-Hop,Lightning,Rico Nasty,https://i.scdn.co/image/ab67616d000048513fdf290da10452cdbac03dee,https://p.scdn.co/mp3-preview/3f145c807162c4d6599718fbf45689c68816b53f?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Rico-Nasty-Lightning-lyrics
95,Hip-Hop,No Hook,Mulatto,https://i.scdn.co/image/ab67616d00004851263080e5c41f40a442f797d6,https://p.scdn.co/mp3-preview/ef2f7a5b30cc3d94fe8349c5a4b58c54e7e0cb0c?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Mulatto-No-Hook-lyrics
96,Hip-Hop,Eat It Up,Flo Milli,https://i.scdn.co/image/ab67616d00004851bac2bc57d2c5d2b17de01a60,https://p.scdn.co/mp3-preview/80f14a91e50c96cb61088cd586750b29065b9a2e?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Flo-Milli-Eat-It-Up-lyrics
97,Hip-Hop,Bobbin,Ty Bri,https://i.scdn.co/image/ab67616d00004851e4c99cb6b9f5dc1281ffe39a,https://p.scdn.co/mp3-preview/3bd86e614211228fb71ffe1c67c765541ed2cfaf?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Ty-Bri-Bobbin-lyrics
